"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"1","Dawn","Baseline",2018-06-09,3,160,213,11.6258907470703,1.96765454101562,"Resident","Dark",122
"2","Dawn","Baseline",2018-06-12,6,163,215,80.6326452880859,18.8927516113281,"Resident","Dark",122
"3","Dawn","Baseline",2018-06-11,5,162,214,71.7339285644531,13.9004111572266,"Resident","Dark",122
"4","Dawn","Baseline",2018-06-16,10,167,216,27.6547598632812,6.05842778320312,"Resident","Dark",122
"5","Dawn","Baseline",2018-06-23,17,174,207,9.24038049316406,2.48383059082031,"Resident","Dark",122
"6","Dawn","Baseline",2018-06-25,19,176,208,13.7967747802734,1.93791098632812,"Resident","Dark",122
"7","Delta","Baseline",2018-06-12,6,163,70,23.6181263183594,5.54930092773438,"Resident","Fawn",181
"8","Delta","Baseline",2018-06-10,4,161,68,166.383501391602,34.0026757324219,"Resident","Fawn",181
"9","Delta","Baseline",2018-06-13,7,164,71,47.438035546875,8.30845144042969,"Resident","Fawn",181
"10","Delta","Baseline",2018-06-11,5,162,69,71.9192842285156,19.9925238525391,"Resident","Fawn",181
"11","Delta","Baseline",2018-06-14,8,165,72,84.3813985839844,21.8900230957031,"Resident","Fawn",181
"12","Delta","Baseline",2018-06-20,14,171,58,73.6470970947266,14.8987439697266,"Resident","Fawn",181
"13","Delta","Baseline",2018-06-16,10,167,73,35.9491114990234,9.32994541015625,"Resident","Fawn",181
"14","Delta","Baseline",2018-06-25,19,176,61,92.7257094726562,21.4505761962891,"Resident","Fawn",181
"15","Delta","Baseline",2018-06-18,12,169,56,16.1662399414062,4.39345427246094,"Resident","Fawn",181
"16","Delta","Baseline",2018-06-19,13,170,57,15.8454526611328,3.27092238769531,"Resident","Fawn",181
"17","Delta","Baseline",2018-06-24,18,175,60,18.823275,4.09970261230469,"Resident","Fawn",181
"18","Delta","Baseline",2018-06-22,16,173,59,1.14144069824219,0.168313330078125,"Resident","Fawn",181
"19","Ebony","Baseline",2018-06-24,18,175,5,5.10446755371094,1.31824211425781,"Resident","Dark",208
"20","Ebony","Baseline",2018-06-12,6,163,22,74.2815829833984,14.7841173339844,"Resident","Dark",208
"21","Ebony","Baseline",2018-06-13,7,164,23,105.208303271484,26.65183046875,"Resident","Dark",208
"22","Ebony","Baseline",2018-06-20,14,171,1,107.767049682617,28.7046577636719,"Resident","Dark",208
"23","Ebony","Baseline",2018-06-21,15,172,2,13.6841104248047,2.03558942871094,"Resident","Dark",208
"24","Ebony","Baseline",2018-06-25,19,176,6,21.6883626220703,4.04106369628906,"Resident","Dark",208
"25","Ebony","Baseline",2018-06-23,17,174,4,67.6739034667969,18.3620736572266,"Resident","Dark",208
"26","Ebony","Baseline",2018-06-11,5,162,21,84.7485620361328,24.1497500488281,"Resident","Dark",208
"27","Ebony","Baseline",2018-06-14,8,165,24,55.2088388427734,14.7256260498047,"Resident","Dark",208
"28","Ebony","Baseline",2018-06-17,11,168,25,28.7767667480469,5.09035874023438,"Resident","Dark",208
