"","order","collar","quoll","microchip","name","morph","cohort","gmt","aest","latitude","longitude","easting","northing","altitude","duration","temp","dop","satellites","deployment","trap","date_time","date","day","min_temp","max_temp","precip","moon","study","date_time_12hr","date_12hr","day_12hr","night_12hr","period","id","nvis_habitat","mfws_habitat","fence"
"1",24,3,34,"D54D","Ebony","Dark","Resident",2018-06-19 18:45:00,2018-06-19 04:45:00,-35.1668772,149.168308,697475.041,6106297.875,685.87,2,28.5,1.2,5,"Field","Free",2018-06-19 04:45:00,2018-06-19,2018-06-19,"12.8","3","0.2",34.4,"Yes","2018-06-18 16:45:00",2018-06-18,169,12,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"2",62,3,34,"D54D","Ebony","Dark","Resident",2018-06-20 14:00:00,2018-06-20,-35.1671746,149.1681292,697458.035,6106265.241,706.76,1,24,1.4,5,"Field","Free",2018-06-20,2018-06-20,2018-06-20,"14","1.1000000000000001","0",45.3,"Yes","2018-06-19 12:00:00",2018-06-19,170,13,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"3",63,3,34,"D54D","Ebony","Dark","Resident",2018-06-20 14:15:00,2018-06-20 00:15:00,-35.1668037,149.1682543,697470.328,6106306.135,636.68,1,24.5,1.6,5,"Field","Free",2018-06-20 00:15:00,2018-06-20,2018-06-20,"14","1.1000000000000001","0",45.3,"Yes","2018-06-19 12:15:00",2018-06-19,170,13,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"4",64,3,34,"D54D","Ebony","Dark","Resident",2018-06-20 14:30:00,2018-06-20 00:30:00,-35.1675086,149.1688326,697521.298,6106226.794,673.26,41,27,1.8,5,"Field","Free",2018-06-20 00:30:00,2018-06-20,2018-06-20,"14","1.1000000000000001","0",45.3,"Yes","2018-06-19 12:30:00",2018-06-19,170,13,"Baseline",49,"Tussock Grasslands","Grassland","Inside"
"5",107,3,34,"D54D","Ebony","Dark","Resident",2018-06-21 11:00:00,2018-06-20 21:00:00,-35.1654992,149.1749314,698081.697,6106437.555,678.91,1,21,1.8,5,"Field","Free",2018-06-20 21:00:00,2018-06-20,2018-06-20,"14","1.1000000000000001","0",45.3,"Yes","2018-06-20 09:00:00",2018-06-20,171,14,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"6",108,3,34,"D54D","Ebony","Dark","Resident",2018-06-21 11:15:00,2018-06-20 21:15:00,-35.1654862,149.1749048,698079.305,6106439.05,689.63,6,21.5,1.4,5,"Field","Free",2018-06-20 21:15:00,2018-06-20,2018-06-20,"14","1.1000000000000001","0",45.3,"Yes","2018-06-20 09:15:00",2018-06-20,171,14,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"7",129,3,34,"D54D","Ebony","Dark","Resident",2018-06-21 16:30:00,2018-06-21 02:30:00,-35.1654904,149.1748903,698077.974,6106438.613,668.14,20,23,1.8,5,"Field","Free",2018-06-21 02:30:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-20 14:30:00",2018-06-20,171,14,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"8",131,3,34,"D54D","Ebony","Dark","Resident",2018-06-21 17:00:00,2018-06-21 03:00:00,-35.1655112,149.1750616,698093.527,6106435.965,668.34,34,36.5,1.6,6,"Field","Free",2018-06-21 03:00:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-20 15:00:00",2018-06-20,171,14,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"9",132,3,34,"D54D","Ebony","Dark","Resident",2018-06-21 17:15:00,2018-06-21 03:15:00,-35.165484,149.1749263,698081.269,6106439.251,655.27,13,25,1.4,6,"Field","Free",2018-06-21 03:15:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-20 15:15:00",2018-06-20,171,14,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"10",151,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 07:45:00,2018-06-21 17:45:00,-35.1654959,149.1749693,698085.157,6106437.846,669.01,38,24.5,1.4,6,"Field","Free",2018-06-21 17:45:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 05:45:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"11",152,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 08:00:00,2018-06-21 18:00:00,-35.1654977,149.1749543,698083.786,6106437.676,668.73,11,25,1.4,5,"Field","Free",2018-06-21 18:00:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 06:00:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"12",153,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 08:15:00,2018-06-21 18:15:00,-35.1654845,149.174943,698082.789,6106439.163,665.6,4,23.5,1.4,6,"Field","Free",2018-06-21 18:15:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 06:15:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"13",154,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 08:30:00,2018-06-21 18:30:00,-35.1672502,149.1751682,698099.018,6106242.851,661.86,1,17.5,1.4,6,"Field","Free",2018-06-21 18:30:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 06:30:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"14",155,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 08:45:00,2018-06-21 18:45:00,-35.1654925,149.1749713,698085.347,6106438.219,664.34,2,18,1.4,6,"Field","Free",2018-06-21 18:45:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 06:45:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"15",156,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 09:00:00,2018-06-21 19:00:00,-35.1654443,149.174945,698083.069,6106443.618,658.04,1,21,1.6,5,"Field","Free",2018-06-21 19:00:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 07:00:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"16",157,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 09:15:00,2018-06-21 19:15:00,-35.165681,149.1740235,697998.555,6106419.197,638.12,2,17,1.8,5,"Field","Free",2018-06-21 19:15:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 07:15:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"17",159,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 09:45:00,2018-06-21 19:45:00,-35.1652879,149.1713103,697752.364,6106468.203,649.68,4,26.5,2.6,5,"Field","Free",2018-06-21 19:45:00,2018-06-21,2018-06-21,"12.7","-4.0999999999999996","0",56.2,"Yes","2018-06-21 07:45:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"18",176,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 14:00:00,2018-06-22,-35.1654677,149.1749619,698084.551,6106440.989,663.03,34,20.5,1.4,6,"Field","Free",2018-06-22,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-21 12:00:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"19",177,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 14:15:00,2018-06-22 00:15:00,-35.1661877,149.1730055,697904.598,6106365.018,664.24,18,17,1.6,6,"Field","Free",2018-06-22 00:15:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-21 12:15:00",2018-06-21,172,15,"Baseline",52,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"20",192,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 18:00:00,2018-06-22 04:00:00,-35.159883,149.1631457,697021.696,6107083.956,669.24,2,27.5,1.2,5,"Field","Free",2018-06-22 04:00:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-21 16:00:00",2018-06-21,172,15,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"21",193,3,34,"D54D","Ebony","Dark","Resident",2018-06-22 18:15:00,2018-06-22 04:15:00,-35.1597883,149.1633954,697044.671,6107093.966,689.38,2,27.5,1.2,5,"Field","Free",2018-06-22 04:15:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-21 16:15:00",2018-06-21,172,15,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"22",208,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 07:45:00,2018-06-22 17:45:00,-35.1598897,149.1635987,697062.946,6107082.315,699.45,38,32,1.2,6,"Field","Free",2018-06-22 17:45:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-22 05:45:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"23",209,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 08:00:00,2018-06-22 18:00:00,-35.1599046,149.1636589,697068.394,6107080.543,702.31,12,32.5,1.2,6,"Field","Free",2018-06-22 18:00:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-22 06:00:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"24",210,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 08:15:00,2018-06-22 18:15:00,-35.159913,149.1636667,697069.084,6107079.596,685.36,12,32,1.6,5,"Field","Free",2018-06-22 18:15:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-22 06:15:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"25",211,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 08:30:00,2018-06-22 18:30:00,-35.1598057,149.1637697,697078.726,6107091.294,705.73,21,28,1,6,"Field","Free",2018-06-22 18:30:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-22 06:30:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"26",212,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 08:45:00,2018-06-22 18:45:00,-35.1597854,149.1661599,697296.512,6107088.806,708.94,5,19,1,6,"Field","Free",2018-06-22 18:45:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-22 06:45:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"27",230,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 13:15:00,2018-06-22 23:15:00,-35.1609146,149.1621984,696932.913,6106971.402,680.41,34,21.5,1.4,5,"Field","Free",2018-06-22 23:15:00,2018-06-22,2018-06-22,"13.4","-5.0999999999999996","0",66.6,"Yes","2018-06-22 11:15:00",2018-06-22,173,16,"Baseline",2,"Tussock Grasslands","Grassland","Inside"
"28",242,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 16:15:00,2018-06-23 02:15:00,-35.1603669,149.1644957,697143.506,6107027.603,775.36,3,19,2.4,5,"Field","Free",2018-06-23 02:15:00,2018-06-23,2018-06-23,"13.4","-5.0999999999999996","0.2",75.9,"Yes","2018-06-22 14:15:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"29",243,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 16:30:00,2018-06-23 02:30:00,-35.1605926,149.1641176,697108.518,6107003.317,684.24,37,25.5,1.8,5,"Field","Free",2018-06-23 02:30:00,2018-06-23,2018-06-23,"13.4","-5.0999999999999996","0.2",75.9,"Yes","2018-06-22 14:30:00",2018-06-22,173,16,"Baseline",33,"Eucalypt Woodlands","Eucalypt woodland","Inside"
"30",244,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 16:45:00,2018-06-23 02:45:00,-35.160819,149.1632289,697027.016,6106979.965,719.77,6,18.5,2,5,"Field","Free",2018-06-23 02:45:00,2018-06-23,2018-06-23,"13.4","-5.0999999999999996","0.2",75.9,"Yes","2018-06-22 14:45:00",2018-06-22,173,16,"Baseline",36,"Eucalypt Open Woodlands","Eucalypt woodland","Inside"
"31",245,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 17:00:00,2018-06-23 03:00:00,-35.1609912,149.1620389,696918.198,6106963.221,661.39,1,18.5,1.8,5,"Field","Free",2018-06-23 03:00:00,2018-06-23,2018-06-23,"13.4","-5.0999999999999996","0.2",75.9,"Yes","2018-06-22 15:00:00",2018-06-22,173,16,"Baseline",2,"Tussock Grasslands","Grassland","Inside"
"32",246,3,34,"D54D","Ebony","Dark","Resident",2018-06-23 17:15:00,2018-06-23 03:15:00,-35.161176,149.1617267,696889.313,6106943.34,665.27,3,26,1.6,5,"Field","Free",2018-06-23 03:15:00,2018-06-23,2018-06-23,"13.4","-5.0999999999999996","0.2",75.9,"Yes","2018-06-22 15:15:00",2018-06-22,173,16,"Baseline",2,"Tussock Grasslands","Grassland","Inside"
