"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"1","Dawn","Baseline",2018-06-23,17,174,207,9.24038049316406,2.48383059082031,"Resident","Dark",122
"2","Dawn","Baseline",2018-06-11,5,162,214,71.7339285644531,13.9004111572266,"Resident","Dark",122
"3","Dawn","Baseline",2018-06-12,6,163,215,80.6326452880859,18.8927516113281,"Resident","Dark",122
"4","Dawn","Baseline",2018-06-16,10,167,216,27.6547598632812,6.05842778320312,"Resident","Dark",122
"5","Dawn","Baseline",2018-06-25,19,176,208,13.7967747802734,1.93791098632812,"Resident","Dark",122
"6","Dawn","Baseline",2018-06-09,3,160,213,11.6258907470703,1.96765454101562,"Resident","Dark",122
"7","Dawn","Release",2018-06-27,21,178,210,64.7503371337891,13.8445068115234,"Resident","Dark",18
"8","Dawn","Release",2018-06-29,23,180,212,73.4411075927734,20.5755115478516,"Resident","Dark",18
"9","Dawn","Release",2018-06-28,22,179,211,162.038770410156,40.8863865722656,"Resident","Dark",18
"10","Dawn","Release",2018-06-26,20,177,209,97.1046121826172,23.4904733154297,"Resident","Dark",18
"11","Delta","Baseline",2018-06-10,4,161,68,166.383501391602,34.0026757324219,"Resident","Fawn",181
"12","Delta","Baseline",2018-06-16,10,167,73,35.9491114990234,9.32994541015625,"Resident","Fawn",181
"13","Delta","Baseline",2018-06-11,5,162,69,71.9192842285156,19.9925238525391,"Resident","Fawn",181
"14","Delta","Baseline",2018-06-12,6,163,70,23.6181263183594,5.54930092773438,"Resident","Fawn",181
"15","Delta","Baseline",2018-06-25,19,176,61,92.7257094726562,21.4505761962891,"Resident","Fawn",181
"16","Delta","Baseline",2018-06-13,7,164,71,47.438035546875,8.30845144042969,"Resident","Fawn",181
"17","Delta","Baseline",2018-06-20,14,171,58,73.6470970947266,14.8987439697266,"Resident","Fawn",181
"18","Delta","Baseline",2018-06-14,8,165,72,84.3813985839844,21.8900230957031,"Resident","Fawn",181
"19","Delta","Baseline",2018-06-19,13,170,57,15.8454526611328,3.27092238769531,"Resident","Fawn",181
"20","Delta","Baseline",2018-06-18,12,169,56,16.1662399414062,4.39345427246094,"Resident","Fawn",181
"21","Delta","Baseline",2018-06-24,18,175,60,18.823275,4.09970261230469,"Resident","Fawn",181
"22","Delta","Baseline",2018-06-22,16,173,59,1.14144069824219,0.168313330078125,"Resident","Fawn",181
"23","Delta","Release",2018-06-26,20,177,62,10.0436496337891,1.3520568359375,"Resident","Fawn",42
"24","Delta","Release",2018-06-29,23,180,64,35.0938013671875,7.41032360839844,"Resident","Fawn",42
"25","Delta","Release",2018-07-02,26,183,67,105.912891064453,21.3189731445312,"Resident","Fawn",42
"26","Delta","Release",2018-06-27,21,178,63,25.2314355957031,5.11108544921875,"Resident","Fawn",42
"27","Delta","Release",2018-07-01,25,182,66,24.4372384033203,3.95649645996094,"Resident","Fawn",42
"28","Delta","Release",2018-06-30,24,181,65,110.733990209961,24.8549896972656,"Resident","Fawn",42
"29","Ebony","Baseline",2018-06-13,7,164,23,105.208303271484,26.65183046875,"Resident","Dark",208
"30","Ebony","Baseline",2018-06-12,6,163,22,74.2815829833984,14.7841173339844,"Resident","Dark",208
"31","Ebony","Baseline",2018-06-24,18,175,5,5.10446755371094,1.31824211425781,"Resident","Dark",208
"32","Ebony","Baseline",2018-06-25,19,176,6,21.6883626220703,4.04106369628906,"Resident","Dark",208
"33","Ebony","Baseline",2018-06-17,11,168,25,28.7767667480469,5.09035874023438,"Resident","Dark",208
"34","Ebony","Baseline",2018-06-21,15,172,2,13.6841104248047,2.03558942871094,"Resident","Dark",208
"35","Ebony","Baseline",2018-06-11,5,162,21,84.7485620361328,24.1497500488281,"Resident","Dark",208
"36","Ebony","Baseline",2018-06-23,17,174,4,67.6739034667969,18.3620736572266,"Resident","Dark",208
"37","Ebony","Baseline",2018-06-20,14,171,1,107.767049682617,28.7046577636719,"Resident","Dark",208
"38","Ebony","Baseline",2018-06-09,3,160,20,11.8094849853516,3.13004777832031,"Resident","Dark",208
"39","Ebony","Baseline",2018-06-14,8,165,24,55.2088388427734,14.7256260498047,"Resident","Dark",208
"40","Ebony","Baseline",2018-06-22,16,173,3,205.52488034668,37.6312740966797,"Resident","Dark",208
"41","Ebony","Release",2018-07-02,26,183,13,16.9555050048828,3.47134858398437,"Resident","Dark",210
"42","Ebony","Release",2018-07-01,25,182,12,409.512071606445,97.0209825683594,"Resident","Dark",210
"43","Ebony","Release",2018-06-26,20,177,7,48.4531394287109,11.3917115722656,"Resident","Dark",210
"44","Ebony","Release",2018-06-28,22,179,9,143.627881835938,28.7719000488281,"Resident","Dark",210
"45","Ebony","Release",2018-06-27,21,178,8,195.224108081055,41.0085603515625,"Resident","Dark",210
"46","Ebony","Release",2018-07-03,27,184,14,6.34361359863281,1.35982421875,"Resident","Dark",210
"47","Ebony","Release",2018-06-29,23,180,10,148.729522729492,18.8186624755859,"Resident","Dark",210
"48","Ebony","Release",2018-07-04,28,185,15,55.5663199707031,8.50659926757812,"Resident","Dark",210
"49","Ebony","Release",2018-06-30,24,181,11,31.1372524658203,4.74745549316406,"Resident","Dark",210
"50","Eevee","Baseline",2018-06-13,7,164,42,78.54022265625,21.1775341552734,"Resident","Fawn",189
"51","Eevee","Baseline",2018-06-11,5,162,40,21.1033155517578,3.22742573242187,"Resident","Fawn",189
"52","Eevee","Baseline",2018-06-18,12,169,26,101.248368408203,19.4280771240234,"Resident","Fawn",189
"53","Eevee","Baseline",2018-06-10,4,161,39,40.1048744873047,6.97830886230469,"Resident","Fawn",189
"54","Eevee","Baseline",2018-06-12,6,163,41,86.1902440429687,22.0780054931641,"Resident","Fawn",189
"55","Eevee","Baseline",2018-06-24,18,175,29,78.7819116455078,20.2177109863281,"Resident","Fawn",189
"56","Eevee","Baseline",2018-06-14,8,165,43,75.7940894287109,17.7594622314453,"Resident","Fawn",189
"57","Eevee","Baseline",2018-06-17,11,168,45,265.228382080078,65.1466713867188,"Resident","Fawn",189
"58","Eevee","Baseline",2018-06-22,16,173,27,13.1948070068359,3.21277622070312,"Resident","Fawn",189
"59","Eevee","Baseline",2018-06-25,19,176,30,48.9581612304687,12.8512618896484,"Resident","Fawn",189
"60","Eevee","Baseline",2018-06-15,9,166,44,68.1062820068359,13.6388555175781,"Resident","Fawn",189
